directorid,directorname,companyname,awarddate,qualification,fulltextdescription,primarykeyid,companyid,awarddateflag
86007,Mark Hurd,Baylor University,1979-12-31,BBA,,330013,60138,25
90127,Chuck Swoboda,Marquette University College of Engineering,1989-12-28,Bachelor's Degree,,2374475,2544607,25
92037,Doctor Jim Truchard,University of Texas at Austin (UT Austin),1965-12-31,BS,,92147,62742,25
92037,Doctor Jim Truchard,University of Texas at Austin (UT Austin),1968-12-31,PhD,,92157,62742,25
92037,Doctor Jim Truchard,University of Texas at Austin (UT Austin),1966-12-31,MS,,92152,62742,25
102722,Hock Tan,Massachusetts Institute of Technology (MIT),9999-12-31,BSME,,656394,40436,80
102722,Hock Tan,Massachusetts Institute of Technology (MIT),1973-12-31,MSME,,92492,40436,25
102722,Hock Tan,Harvard Business School Harvard University,1976-12-31,MBA,,92487,63013,25
103257,John Donahoe II,Stanford Graduate School of Business,1986-12-31,MBA,,91422,67360,25
103257,John Donahoe II,Dartmouth College,1982-12-31,AB (magna cum laude),,91417,60488,25
104962,Richard Pops,Stanford University,1983-12-31,BA,,120474,61935,25
106062,Paul Tufano,Columbia University,9999-12-31,MBA,,120011,60434,80
106062,Paul Tufano,St John's University (SJU),1975-12-28,BS,,120010,61913,25
141731,John Chen,California Institute of Technology (CALTECH),1979-12-31,MSEE,,121582,60243,25
141731,John Chen,Brown University,1978-12-31,BSEE (magna cum laude),,121581,60224,25
142122,Jim Foster,School of Law Boston University,1976-12-28,JD,,121678,833517,25
142122,Jim Foster,Lake Forest College,1972-12-31,BA,,121676,77954,25
142122,Jim Foster,Massachusetts Institute of Technology (MIT) Sloan School of Management,1985-12-31,MS,,121677,63283,25
180412,Doctor TJ Rodgers,Stanford University,1975-12-31,PhD,,184165,61935,25
180412,Doctor TJ Rodgers,Dartmouth College,1970-12-31,AB,,184163,60488,25
180412,Doctor TJ Rodgers,Stanford University,1973-12-31,MS,,184164,61935,25
181113,Bob Bruggeworth,Wilkes University,1983-12-31,BS,,160871,101787,25
181370,Doctor Lenny Bell,Brown University,1979-12-31,AB,,161249,60224,25
181370,Doctor Lenny Bell,Yale School of Medicine (Yale-New Haven Medical Center),1984-12-31,MD,,161250,79150,25
182058,Shaw Hong,Shanghai Jiao Tong University (SJTU),1958-12-31,BS,,161659,640349,25
182058,Shaw Hong,Oregon State University,1959-12-31,MS,,161660,61547,25
182411,Lip-Bu Tan,Nanyang Technological University,1978-12-28,BS,,162111,131087,25
182411,Lip-Bu Tan,University of San Francisco (USF),1983-12-28,MBA,,162279,62648,25
182411,Lip-Bu Tan,Massachusetts Institute of Technology (MIT),1981-12-28,MS,,162112,40436,25
183256,Bruce Cozadd,Yale University,1985-12-31,BA,Molecular Biochemistry,163054,62981,25
183256,Bruce Cozadd,Stanford Graduate School of Business,1991-12-28,MBA,,163055,67360,25
183266,Jean-Jacques Bienaimé,ESCP Business School,1974-12-31,BS,,163168,3200149,25
183266,Jean-Jacques Bienaimé,Wharton School (The) University of Pennsylvania,9999-12-31,MBA,,163167,64966,80
183402,Steve Laub,University of California Los Angeles (UCLA),1980-12-31,BA (summa cum laude),,280507,62218,25
183402,Steve Laub,Harvard Law School Harvard University,1983-12-28,JD,,280508,63035,25
200418,Keith Jackson,Southern Methodist University (SMU),1979-12-28,BS,,184069,61882,25
200418,Keith Jackson,Southern Methodist University (SMU),1982-12-28,MS,,184070,61882,25
200556,Dean Foate,Milwaukee School of Engineering (MSOE),9999-12-31,MS,,184718,102037,80
200556,Dean Foate,University of Wisconsin,1982-12-28,BS,,350228,63062,25
201093,Doctor Len Schleifer,American Board of Psychiatry and Neurology Inc (ABPN),9999-12-31,Certified,,181332,261577,80
201093,Doctor Len Schleifer,University of Virginia,9999-12-31,PhD,,181331,62777,80
201093,Doctor Len Schleifer,Cornell University  New York,1973-12-28,Graduated,,524874,60457,25
201093,Doctor Len Schleifer,University of Virginia,9999-12-31,MD,,181330,62777,80
201483,Bill Nuti,Long Island University,1986-12-31,BS,,293858,61173,25
201622,Peter Neupert,Colorado College,1978-12-28,BA,,181931,82981,25
201622,Peter Neupert,Tuck School of Business Dartmouth,1980-12-28,MBA,,181930,632975,25
201626,Brian McAndrews,Harvard University,1980-12-31,AB (Hons),,181958,63830,25
201626,Brian McAndrews,Stanford Graduate School of Business,1984-12-28,MBA,,181957,67360,25
202425,Jim Cashman III,University of Cincinnati,1981-12-28,MBA,,184344,62243,25
202425,Jim Cashman III,University of Cincinnati,1978-12-28,MS,,184343,62243,25
202425,Jim Cashman III,University of Cincinnati,1976-12-28,BS,,184342,62243,25
202679,Frank Williams,University of California Berkeley,1988-12-31,BA,,183077,62215,25
202679,Frank Williams,Harvard Business School Harvard University,1995-12-28,MBA,,183078,63013,25
204362,Bob Eulau,Pomona College,1983-12-28,BA,,185071,61610,25
204362,Bob Eulau,University of Chicago,1985-12-28,MBA,,185072,42092,25
204362,Bob Eulau,American Institute of Certified Public Accountants (AICPA),9999-12-31,Certified Public Accountant,,500217,54373,80
204563,Doctor John Maraganore,University of Chicago,9999-12-31,PhD,,185213,42092,80
204563,Doctor John Maraganore,University of Chicago,9999-12-31,MS,,507979,42092,80
204563,Doctor John Maraganore,University of Chicago,9999-12-31,BA,,2039025,42092,80
204874,Tom Georgens,Rensselaer Polytechnic Institute (RPI),1981-12-31,BS,,431075,61687,25
204874,Tom Georgens,Babson College,9999-12-31,MBA,,431060,60120,80
204874,Tom Georgens,Rensselaer Polytechnic Institute (RPI),9999-12-31,MEng,,431074,61687,80
205003,Alex Davern,University College Dublin (UCD),9999-12-31,Post Graduate Diploma,,185411,62256,80
205003,Alex Davern,University College Dublin (UCD),1987-12-28,BCom,,185410,62256,25
205153,David Henshall,Santa Clara University (SCU),9999-12-31,MBA,,318879,61782,80
205153,David Henshall,University of Arizona (UOA),1989-12-31,BS,,318880,62155,25
205183,Gayla Delly,American Institute of Certified Public Accountants (AICPA),9999-12-31,Certified Public Accountant,,185460,54373,80
205183,Gayla Delly,Samford University,1978-12-31,BS,,185459,81957,25
205267,J Buchi,Kellogg School of Management Northwestern University,1982-12-31,MBA,,321771,77878,25
205267,J Buchi,Cornell University  New York,1977-12-31,BA,,321773,60457,25
205267,J Buchi,American Institute of Certified Public Accountants (AICPA),9999-12-31,Certified Public Accountant,,321772,54373,80
205405,Sanjay Mehrotra,University of California Berkeley,1978-12-28,BS,,185632,62215,25
205405,Sanjay Mehrotra,Birla Institute of Technology & Science (BITS) India,9999-12-31,Graduated,,3363311,468626,80
205405,Sanjay Mehrotra,Stanford Graduate School of Business,9999-12-31,Executive Program,,4306628,67360,80
205405,Sanjay Mehrotra,University of California Berkeley,1980-12-28,MS,,185633,62215,25
206108,Joe Papa Jr,School of Pharmacy University of Connecticut,2012-12-28,Doctor of Science,,3450799,1381450,25
206108,Joe Papa Jr,Kellogg School of Management Northwestern University,1983-12-31,MBA,,185922,77878,25
206108,Joe Papa Jr,University of Connecticut (UCONN),1980-12-31,BS,,185923,62265,25
206474,Bill McDermott,Dowling College,1983-12-28,BS,,186262,81506,25
206474,Bill McDermott,Wharton School (The) University of Pennsylvania,9999-12-31,Executive Development Program,,186264,64966,80
206474,Bill McDermott,Kellogg School of Management Northwestern University,1997-12-28,MBA,,186261,77878,25
206587,Doctor Kevin Gorman,Rockefeller University,9999-12-31,Training Program,,525226,61708,80
206587,Doctor Kevin Gorman,University of California Los Angeles (UCLA),1991-12-28,MBA,,186046,62218,25
206587,Doctor Kevin Gorman,University of California Los Angeles (UCLA),9999-12-31,PhD,,186045,62218,80
270780,John Hendrickson,Hope College,1983-12-28,BS,,673804,81249,25
270780,John Hendrickson,University of Notre Dame,1994-12-28,MBA,,673806,62544,25
270780,John Hendrickson,University of Michigan,1985-12-28,BSE,,673805,63187,25
271741,Graham Smith,Institute of Chartered Accountants in England and Wales (ICAEW),1986-12-28,Chartered Accountant,,1242275,36362,25
271741,Graham Smith,University of Bristol (Formerly known as University College Bristol),1981-12-31,BSc (cum laude),,251979,64921,25
272786,Doctor George Scangos,Cornell University  New York,1970-12-28,BA,,253345,60457,25
272786,Doctor George Scangos,University of Massachusetts,1977-12-28,PhD,,253346,63512,25
272802,Doctor Mike Morrissey,Harvard University,9999-12-31,PhD,,253397,63830,80
272802,Doctor Mike Morrissey,University of Wisconsin,1983-12-31,BS (Hons),,253398,63062,25
275263,Jim Kelly,University of Massachusetts Amherst (UMA),9999-12-31,Graduated,,576023,62456,80
275263,Jim Kelly,American Institute of Certified Public Accountants (AICPA),9999-12-31,Certified Public Accountant,,576024,54373,80
275794,Paul Ricci,Stanford University,1978-12-31,BA,,257766,61935,25
275794,Paul Ricci,Stanford University,1979-12-31,MA,,257767,61935,25
320726,Doctor Stanley Crooke,Baylor College of Medicine,1974-12-31,MD,,256795,82819,25
320726,Doctor Stanley Crooke,Butler University,1969-12-31,BS,,290791,79061,25
320726,Doctor Stanley Crooke,Baylor College of Medicine,1971-12-31,PhD,,256796,82819,25
321651,Tom Edman,Wharton School (The) University of Pennsylvania,1993-12-28,MBA,,290034,64966,25
321651,Tom Edman,Yale University,1984-12-28,BA,,290032,62981,25
321685,Jim Scholhamer,University of Michigan,1986-12-31,BSE,,257896,63187,25
324013,Josef Von Rickenbach,Lucerne University of Applied Sciences and Arts,1976-12-31,BA,,291985,1674038,25
324013,Josef Von Rickenbach,Harvard University,1981-12-28,MBA,,291981,63830,25
325964,Steve Milligan,Ohio State University (OSU),1985-12-31,BS,,293926,61523,25
325964,Steve Milligan,American Institute of Certified Public Accountants (AICPA),9999-12-31,Certified Public Accountant,,293927,54373,80
327057,Doctor Sehat Sutardja,Iowa State University,9999-12-31,BS,,570402,1246304,80
327057,Doctor Sehat Sutardja,University of California Berkeley,1983-12-31,MS,,295991,62215,25
327057,Doctor Sehat Sutardja,Unknown Organisation,9999-12-31,Certified,,3262544,0,80
327057,Doctor Sehat Sutardja,University of California Berkeley,1988-12-31,PhD,,295992,62215,25
327474,Dave Aldrich,Providence College,1979-12-31,BS,,482454,61633,25
327474,Dave Aldrich,University of Rhode Island (URI),1981-12-31,MBA,,482456,62631,25
327486,Liam Griffin,University of Massachusetts Amherst (UMA),1989-12-28,BS,,482558,62456,25
327486,Liam Griffin,Questrom School of Business Boston University,1994-12-28,MBA,,482559,2244192,25
329839,Godfrey Sullivan,Stanford University,9999-12-31,Executive Program,,310930,61935,80
329839,Godfrey Sullivan,Wharton School (The) University of Pennsylvania,9999-12-31,Executive Program,,310931,64966,80
329839,Godfrey Sullivan,Baylor University,1976-12-28,BBA,,310929,60138,25
330136,Doctor Martine Rothblatt,University of California Los Angeles (UCLA),1981-12-28,MBA,,317869,62218,25
330136,Doctor Martine Rothblatt,Royal London School of Medicine and Dentistry,2001-12-28,PhD,,677484,502020,25
330136,Doctor Martine Rothblatt,University of California,1977-12-28,BA,,317366,63186,25
330136,Doctor Martine Rothblatt,UCLA School of Law,1981-12-28,JD,,317367,640561,25
330139,Doctor Roger Jeffs,School of Medicine University of North Carolina Chapel Hill,1991-12-28,PhD,,311529,1195730,25
330139,Doctor Roger Jeffs,Duke University,1984-12-28,BA,,1586933,60547,25
330400,Rick Bergman,University of Colorado,1991-12-28,MBA,,312064,63056,25
330400,Rick Bergman,University of Michigan,1986-12-28,BS,,312063,63187,25
332327,Dave Brennan,Gettysburg College,1975-12-28,BA,,330092,78283,25
332806,Jim Hughes,School of Law University of Texas Austin,1988-05-28,JD,,314505,533430,15
332806,Jim Hughes,Queen Mary University of London (Formerly known as Queen Mary and Westfield College),1987-05-28,Certified,Certificate of Completion,314506,37254,15
332806,Jim Hughes,Southern Methodist University (SMU),1985-05-28,BBA,Edwin L Cox School of Business,314507,61882,15
333171,Strauss Zelnick,Harvard Law School Harvard University,1983-12-28,JD,,314678,63035,25
333171,Strauss Zelnick,Wesleyan University,1979-12-28,BA,,314679,62908,25
333171,Strauss Zelnick,Harvard Business School Harvard University,1983-12-28,MBA,,314677,63013,25
333755,Jim Whitehurst,Klinikum der Friedrich-Alexander-Universität Erlangen-Nürnberg,9999-12-31,Attended,,315805,73459,80
333755,Jim Whitehurst,London School of Economics and Political Science,9999-12-31,Degree,,315806,38522,80
333755,Jim Whitehurst,Rice University,1989-12-28,BS,,315803,61692,25
333755,Jim Whitehurst,Harvard Business School Harvard University,1994-12-28,MBA,,315807,63013,25
334096,Colin Shannon,Association of Chartered Certified Accountants (ACCA) (UK),9999-12-31,Certified Accountant,,316195,36352,80
334096,Colin Shannon,Bayes Business School (Cass Business School City University London prior to 9/2021),9999-12-31,MBA,,316194,816983,80
339239,Victor Peng,Cornell University  New York,1982-12-31,MSEE,,322332,60457,25
339239,Victor Peng,Rensselaer Polytechnic Institute (RPI),1981-12-31,BSEE,,322617,61687,25
339339,Doug Merritt,University of Pacific in Stockton,1987-12-28,BS,,322554,92122,25
339859,Steve Davis,Southern Nazarene University,1983-12-28,BS,,323116,598869,25
339859,Steve Davis,Vanderbilt University,1990-12-28,JD,,323117,62843,25
339859,Steve Davis,American Institute of Certified Public Accountants (AICPA),9999-12-31,Certified Public Accountant,,323118,54373,80
340014,John Giamatteo,St John's University (SJU),1988-12-31,BS,,524194,61913,25
340014,John Giamatteo,St John's University (SJU),1991-12-28,MBA,,524195,61913,25
340655,Alan Trefler,Dartmouth College,1977-12-31,BS (Distinction),,324665,60488,25
345845,Professor Barry Greene,University of Pittsburgh,1985-12-31,BS,,343967,62593,25
346826,Craig Muhlhauser,University of Cincinnati,1975-12-28,BS,,345110,62243,25
346826,Craig Muhlhauser,University of Cincinnati,1975-12-28,MS,,345109,62243,25
347211,Doctor Clay Siegall,University of Texas at Austin (UT Austin),9999-12-31,BS,,525705,62742,80
347211,Doctor Clay Siegall,George Washington University (GW) (The),9999-12-31,PhD,,345504,60749,80
347211,Doctor Clay Siegall,University of Texas Health Science Center at Houston,9999-12-31,PhD,,525703,92992,80
347211,Doctor Clay Siegall,University of Maryland College Park,1982-12-31,BS,,345503,62449,25
347211,Doctor Clay Siegall,University of Washington,9999-12-31,MBA,,525706,62785,80
350055,Moshe Gavrielov,Technion - Israel Institute of Technology (IIT),1975-12-31,BS,,330074,780210,25
350055,Moshe Gavrielov,Technion - Israel Institute of Technology (IIT),1983-12-28,MS,,330075,780210,25
375436,Joe Conway,Dalhousie University,1987-12-31,MBA,,356720,60481,25
375436,Joe Conway,Memorial University of Newfoundland,1981-12-31,BSc,,356722,121997,25
375926,Marc Benioff,University of Southern California (USC),1986-12-31,BS,,357494,62673,25
376149,Michael Klein,Wharton School (The) University of Pennsylvania,1985-12-31,BS,,430548,64966,25
376225,Joseph Podolski,Illinois Institute of Technology (IIT),1969-12-31,BS,,357943,60904,25
376225,Joseph Podolski,Illinois Institute of Technology (IIT),9999-12-31,MS,,357906,60904,80
376561,Howard Robin,Fairleigh Dickinson University,1974-12-31,BS,,430243,60671,25
377031,Mike McNamara,Santa Clara University (SCU),1982-12-28,MBA,,431245,61782,25
377031,Mike McNamara,University of Cincinnati,1979-12-28,BS,,431243,62243,25
443474,Jim Chirico Jr,Providence College,1979-12-31,BS,,492775,61633,25
444827,Brad Smith,United States Military Academy (USMA) West Point,9999-12-31,Attended,,540899,62117,80
444827,Brad Smith,Marshall University (MU),1985-12-31,BBA,,439085,251472,25
444827,Brad Smith,Aquinas College,1991-12-28,MBA,,439086,83137,25
447596,Michael Hsing,University of Florida (UF),1980-12-31,BSEE,,442597,62323,25
453077,Doctor Tom Caulfield,Columbia University,9999-12-31,Doctorate,,4182163,60434,80
453077,Doctor Tom Caulfield,Columbia University,1984-12-28,MS,,472020,60434,25
453077,Doctor Tom Caulfield,St Lawrence University,1980-12-28,BS,,472018,78719,25
453077,Doctor Tom Caulfield,Columbia University,1986-12-28,PhD,,472021,60434,25
453077,Doctor Tom Caulfield,Columbia University,1982-12-28,BS,,472016,60434,25
456223,Michael Clarke,Columbia University,9999-12-31,Professional Development Program (PDP),,724960,60434,80
456223,Michael Clarke,University of Western Ontario,9999-12-31,Professional Development Program (PDP),,724959,62795,80
456223,Michael Clarke,Bradford University School of Management University of Bradford,1976-12-28,ME,,724958,1003042,25
480400,Clarence Granger,University of California Berkeley,1969-12-31,BS,,481347,62215,25
480400,Clarence Granger,Stanford University,9999-12-31,MS,,481346,61935,80
485621,Ian Read,Imperial College London (The Imperial College of Science Technology and Medicine),1974-12-31,BSc,,491072,63104,25
485621,Ian Read,Institute of Chartered Accountants in England and Wales (ICAEW),1978-12-31,Chartered Accountant,,491074,36362,25
485800,Rob Davis,Northwestern University Pritzker School of Law,1998-12-28,JD,,491485,638744,25
485800,Rob Davis,Miami University Ohio,1990-12-31,Bachelor's Degree,,491488,61276,25
485800,Rob Davis,Kellogg School of Management Northwestern University,1993-12-28,MBA,,491487,77878,25
486395,Doctor Pat Gelsinger,Stanford University,1985-12-31,MS,,492817,61935,25
486395,Doctor Pat Gelsinger,Santa Clara University (SCU),1983-12-31,BS (magna Cum Laude),,492816,61782,25
486395,Doctor Pat Gelsinger,Lincoln Technical Institute,1979-12-31,AA,,492815,383102,25
486806,Randal Nardone,School of Law Boston University,9999-12-31,JD,,493749,833517,80
486806,Randal Nardone,University of Connecticut (UCONN),1977-12-31,BA,,493748,62265,25
486930,Phil Brace,California State University Sacramento,1996-12-28,MS,,493963,745378,25
486930,Phil Brace,University of Waterloo (UWaterloo),1993-12-28,Bachelor of Applied Science,,493965,62786,25
486930,Phil Brace,Stanford University,9999-12-31,Attended,,4207399,61935,80
488928,Mark Widmar,Indiana University,1992-12-31,MBA,,498031,60920,25
488928,Mark Widmar,American Institute of Certified Public Accountants (AICPA),1991-12-31,Certified Public Accountant,,498033,54373,25
488928,Mark Widmar,Indiana University,1987-12-31,BS,,498030,60920,25
495149,Frank Gibeau,Santa Clara University (SCU),9999-12-31,MBA,,520488,61782,80
495149,Frank Gibeau,University of Southern California (USC),1990-12-31,BS,,520486,62673,25
496482,Doctor Larry Dillaha,University of Tennessee,1985-12-31,BA,,522758,64218,25
496482,Doctor Larry Dillaha,University of Tennessee,9999-12-31,MD,,522757,64218,80
497854,Rob Johnson,Missouri University of Science & Technology (University of Missouri - Rolla prior to 01/2008),1989-12-28,BS,,525124,1483741,25
498587,Doctor Jason Rhode,San Diego State University (SDSU),1991-12-31,BS,,526290,61775,25
498587,Doctor Jason Rhode,North Carolina State University (NCSU) (NC State University),1995-12-31,PhD,,526288,61450,25
498587,Doctor Jason Rhode,North Carolina State University (NCSU) (NC State University),9999-12-31,MS,,526289,61450,80
499383,Satya Nadella,University of Wisconsin-Milwaukee (UWM),2000-12-28,MS,,530944,79033,25
499383,Satya Nadella,Manipal Institute of Technology (MIT),9999-12-31,BS,,1384689,493688,80
499383,Satya Nadella,University of Chicago Booth School of Business (University of Chicago Graduate School of Business prior to 2008),1996-12-28,MBA,,1615445,1342262,25
499843,Mike Pearson,Duke University,1981-12-28,BSE,,657382,60547,25
499843,Mike Pearson,Duke University,1981-12-28,BS (summa Cum Laude),,657381,60547,25
499843,Mike Pearson,Darden School of Business University of Virginia (Formerly known as Colgate Darden School of Business University of Virginia),9999-12-31,MBA,,657383,53191,80
507530,Stéphane Bancel,University of Minnesota,1995-12-28,MS,,560029,62475,25
507530,Stéphane Bancel,Harvard Business School Harvard University,2000-12-28,MBA,,542711,63013,25
507530,Stéphane Bancel,École Centrale Paris (École centrale des arts et manufactures) (ECP) (Ceased Trading 01/2015),1995-12-28,MEng,,542709,60576,25
507661,Stan Erck,University of Illinois Chicago (UIC),9999-12-31,BS,,543006,62367,80
507661,Stan Erck,University of Chicago Booth School of Business (University of Chicago Graduate School of Business prior to 2008),1976-12-28,MBA,,543007,1342262,25
508234,Antonio Pietri,University of Tulsa (TU),1987-12-28,BS,,543638,89471,25
508234,Antonio Pietri,University of Houston,1988-12-28,MBA,,543636,62360,25
510070,Bob Kramer Sr,Clemson University,1979-12-28,BS,,545954,78370,25
510070,Bob Kramer Sr,Western Kentucky University,1983-12-28,MBA,,545953,83922,25
510212,Dan Abdun-Nabi,University of San Diego School of Law,9999-12-31,JD,,546148,421175,80
510212,Dan Abdun-Nabi,University of Massachusetts Amherst (UMA),9999-12-31,BA,,546149,62456,80
510212,Dan Abdun-Nabi,Georgetown University Law Center (Georgetown Law School),9999-12-31,LLM,,546146,79195,80
513708,Kevin Conroy,University of Michigan Law School,1991-12-28,JD,,551367,75652,25
513708,Kevin Conroy,College of Engineering Michigan State University,1988-12-28,BS,,551366,1075605,25
514584,Doctor Jeff Jonas,Harvard Medical School Harvard University,1979-12-31,MD,,551604,63348,25
514584,Doctor Jeff Jonas,Amherst College,9999-12-31,BA,,1649816,60055,80
514584,Doctor Jeff Jonas,Harvard Medical School Harvard University,9999-12-31,Completed,,1649817,63348,80
516742,Dick Lynch,University of Massachusetts Lowell (UMass Lowell),1970-12-28,BS,,585677,62459,25
516742,Dick Lynch,Wharton School (The) University of Pennsylvania,9999-12-31,Postgraduate Studies,,585679,64966,80
516742,Dick Lynch,Samuel Curtis Johnson Graduate School of Management Cornell University,9999-12-31,Postgraduate Studies,,585680,78597,80
516742,Dick Lynch,University of Massachusetts Lowell (UMass Lowell),1972-12-28,MS,,585678,62459,25
534543,Bob Bradway,Harvard University,9999-12-31,MBA,,642130,63830,80
534543,Bob Bradway,Amherst College,9999-12-31,BA,,642129,60055,80
535295,Jeff Benck,Rochester Institute of Technology (RIT),1988-12-28,BS,,1123378,80404,25
535295,Jeff Benck,Project Management Institute Inc (PMI),9999-12-31,Certified Project Management Professional,,1123380,489712,80
535295,Jeff Benck,University of Miami Florida,1995-12-28,MS,,1123377,62467,25
536199,Mike Hayford,American Institute of Certified Public Accountants (AICPA),9999-12-31,Certified Public Accountant,,580155,54373,80
536199,Mike Hayford,University of Wisconsin La Crosse,9999-12-31,Bachelor's Degree,,1245916,62813,80
536199,Mike Hayford,Kellogg School of Management Northwestern University,9999-12-31,MBA,,580153,77878,80
536593,George Tuttle,Johns Hopkins University,1989-12-28,BSEE,,577774,61026,25
536593,George Tuttle,University of California Los Angeles (UCLA),1992-12-28,MSEE,,577778,62218,25
540099,Mark Adams,Harvard Business School Harvard University,1995-12-28,MBA,,581280,63013,25
540099,Mark Adams,Boston College (BC),1987-12-28,BA,,581279,60193,25
540451,Mike Dastoor,University of Mumbai (University of Bombay prior to 09/1996),9999-12-31,Degree,,581642,76151,80
540451,Mike Dastoor,Institute of Chartered Accountants in England and Wales (ICAEW),1991-12-31,Chartered Accountant,,581643,36362,25
540927,Scott Smith,University of Western Ontario,1985-12-28,BS (Hons),,1678326,62795,25
540927,Scott Smith,American Graduate School of International Management (Thunderbird),1987-12-28,Masters Degree,,582139,44551,25
540927,Scott Smith,University of Western Ontario,1983-12-28,BS,,582140,62795,25
541897,David Hallal,University of New Hampshire,9999-12-31,BA,,583976,62520,80
542142,Doctor Lisa Su,Massachusetts Institute of Technology (MIT),9999-12-31,BS,,582893,40436,80
542142,Doctor Lisa Su,Massachusetts Institute of Technology (MIT),1991-12-28,MS,,582894,40436,25
542142,Doctor Lisa Su,Massachusetts Institute of Technology (MIT),1994-12-31,PhD,,582895,40436,25
544257,Yuval Wasserman,Ben-Gurion University of the Negev,1983-12-28,BS,,585579,60153,25
544257,Yuval Wasserman,AeA/Stanford Executive Institute,9999-12-31,Studied,,585580,814244,80
544533,Neil Barua,Leonard N Stern School of Business New York University,9999-12-31,BSc,,593228,42226,80
545851,Doctor Ajei Gopal,University of Arizona (UOA),9999-12-31,MSc,,692128,62155,80
545851,Doctor Ajei Gopal,Indian Institute of Technology (IIT) Bombay,9999-12-31,BTech,,692124,567548,80
545851,Doctor Ajei Gopal,Cornell University  New York,9999-12-31,MSc,,692127,60457,80
545851,Doctor Ajei Gopal,Cornell University  New York,9999-12-31,PhD,,692126,60457,80
547579,Doctor Dave Mosley,University of California Davis,9999-12-31,PhD,,1160028,62216,80
549027,Todd Kelsey,University of Wisconsin-Madison,9999-12-31,BS,,590404,751347,80
549027,Todd Kelsey,University of Wisconsin Oshkosh,2004-12-28,MBA,,590402,90352,25
549027,Todd Kelsey,University of Wisconsin-Madison,1989-12-28,MS,,590403,751347,25
550037,Doctor Anirudh Devgan,Carnegie Mellon University,1993-12-31,PhD,,591764,41519,25
550037,Doctor Anirudh Devgan,Indian Institute of Technology (IIT) Delhi,1990-12-31,BTech,,591763,87237,25
550037,Doctor Anirudh Devgan,Carnegie Mellon University,1991-12-31,MS,,591765,41519,25
552034,Iain MacKenzie,Kirkcaldy Technical College Scotland,1979-12-28,Higher Diploma,,594425,881084,25
552050,Doctor Valentin Gapontsev,Moscow Institute of Radio Engineering Electronics and Automatics (MIREEA),9999-12-31,Studied,,2487757,1386293,80
552050,Doctor Valentin Gapontsev,Polytechnical University,1961-12-31,MSEE,,593964,1000492,25
552050,Doctor Valentin Gapontsev,Moscow Institute of Physics and Technology,1972-12-31,PhD,,593956,862304,25
552052,Doctor Eugene Scherbakov,Lebedev Physical Institute of the Russian Academy of Sciences,9999-12-31,PhD,,593960,44377,80
552052,Doctor Eugene Scherbakov,A M Prokhorov General Physics Institute,9999-12-31,DSc,,595261,1002119,80
552052,Doctor Eugene Scherbakov,Moscow Physics and Technology Institute,9999-12-31,MS,,593959,1001791,80
556870,Sasan Goodarzi,University of Central Florida (UCF),1989-12-28,BSEE,,643356,80620,25
556870,Sasan Goodarzi,Kellogg School of Management Northwestern University,2002-12-28,MBA,,643357,77878,25
593280,Jeff Simmons,Cornell University  New York,1989-12-28,Bachelor's Degree,,1210076,60457,25
601215,Wayne Pisano,St John Fisher College,1976-12-28,BS,,1152592,85732,25
601215,Wayne Pisano,University of Dayton,1984-12-28,MBA,,1152594,62274,25
640531,Steve Mollenkopf,University of Michigan,9999-12-31,MSEE,,714669,63187,80
640531,Steve Mollenkopf,Virginia Polytechnic Institute and State University (Virginia Tech),1992-12-28,BSEE,,714668,110197,25
647302,Steve Kelley,Massachusetts Institute of Technology (MIT),1984-12-28,BS,,1662289,40436,25
647302,Steve Kelley,School of Law Santa Clara University,1995-12-28,JD,,1662288,741476,25
647592,Lino Saputo Jr,Concordia University,9999-12-31,BA,,722811,60442,80
647592,Lino Saputo Jr,St Francis Xavier University,9999-12-31,Doctor of Law (Hons),,4343227,79930,80
650660,Uwe Röhrhoff,Universität zu Köln (University of Cologne),9999-12-31,Dipl Kfm,,724622,63055,80
657839,David Epstein,Columbia Business School Columbia University,1987-12-28,MBA,,811248,63118,25
657839,David Epstein,Ernest Mario School of Pharmacy Rutgers University (Formerly known as Rutgers College of Pharmacy),1984-12-28,BS (Hons),,811245,1940955,25
657842,Doctor Yvonne Greenstreet,St Bartholomew's Hospital Medical College University of London,9999-12-31,Studied,,811242,600128,80
657842,Doctor Yvonne Greenstreet,University of Leeds,1985-12-28,MBChB,,811240,62407,25
657842,Doctor Yvonne Greenstreet,St Mary's University,9999-12-31,Studied,,811243,63236,80
657842,Doctor Yvonne Greenstreet,University College London Hospital (UCLH),1990-12-28,Training Program,,1827576,647010,25
657842,Doctor Yvonne Greenstreet,Institut Europeen d'Administration des Affaires (INSEAD) (European Institute of Business Administration),1991-12-28,MBA,,811241,60651,25
731568,Barry Allan,University of British Columbia (UBC),9999-12-31,Degree,,837118,62203,80
731568,Barry Allan,University of Arizona (UOA),9999-12-31,MBA,,837120,62155,80
732483,Doctor Quinton Hennigh,University of Missouri Columbia,9999-12-31,BS,,1245496,62483,80
732483,Doctor Quinton Hennigh,Colorado School of Mines (CSM),1996-12-28,PhD,,843678,60430,25
732483,Doctor Quinton Hennigh,Colorado School of Mines (CSM),1993-12-28,MSc,,843677,60430,25
735088,Doctor Shawn Qu,University of Manitoba,1990-12-28,MSc,,882480,62443,25
735088,Doctor Shawn Qu,University of Toronto,1995-12-28,PhD,,882477,62752,25
