companyid,datestartrole,directorid,directorname,companyname,rolename,dateendrole,datestartroleflag,dateendroleflag,seniority
2164733,2022-04-29,1960636,Michelle Keefe,SYNEOS HEALTH INC (INC Research Holdings Inc prior to 01/2018) (De-listed 09/2023),CEO,2023-09-28,10,10,Executive Director
23786,2023-02-20,203273,Jim Heppelmann,PTC INC (Parametric Technology Corp prior to 01/2013),CEO,2023-07-27,10,10,Executive Director
2825901,2023-01-01,2277545,Giordano Albertazzi,VERTIV HOLDINGS CO (GS Acquisition Holdings Corp prior to 02/2020),CEO/Regional President,2023-07-01,10,10,Executive Director
24205,2018-10-08,56076,Murray Kessler,PERRIGO COMPANY PLC (Perrigo Co prior to 12/2013),President/CEO,2023-06-30,10,10,Executive Director
105052,2018-11-19,339859,Steve Davis,ACADIA PHARMACEUTICALS INC,CEO,2023-06-28,10,15,Executive Director
550958,2019-04-01,510070,Bob Kramer Sr,EMERGENT BIOSOLUTIONS INC,President/CEO,2023-06-24,10,10,Executive Director
19750,2016-07-11,761557,Matt Murphy,MARVELL TECHNOLOGY INC (Marvell Technology Group Ltd prior to 04/2021),President/CEO,2023-06-16,10,10,Executive Director
25954,1994-01-02,201093,Doctor Len Schleifer,REGENERON PHARMACEUTICALS INC,President/CEO,2023-06-09,30,10,Executive Director
15783,2015-05-22,1249099,Hervé Hoppenot,INCYTE CORP (Incyte Genomics prior to 03/2003),Chairman/President/CEO,2023-06-05,10,10,Executive Director
17238,2021-11-01,63117,Mark Mondello,JABIL INC (Jabil Circuit Inc prior to 06/2017),Chairman/CEO,2023-04-30,10,10,Executive Director
3092905,2019-10-11,272786,Doctor George Scangos,VIR BIOTECHNOLOGY INC,President/CEO,2023-04-03,10,10,Executive Director
30509,2018-07-17,13520,Rich Templeton,TEXAS INSTRUMENTS INC,Chairman/President/CEO,2023-04-01,10,10,Executive Director
3299324,2020-11-17,2033434,Michael Goettler,VIATRIS INC (Upjohn Inc prior to 11/2020),CEO,2023-04-01,10,10,Executive Director
1959651,2013-06-20,1258069,Doctor Stu Peltz,PTC THERAPEUTICS INC,CEO,2023-03-22,10,10,Executive Director
3597877,2022-12-28,2680998,Doctor Kirk Hollohan,VORTEX ENERGY CORP,CEO,2023-03-17,10,10,Executive Director
23786,2010-10-01,203273,Jim Heppelmann,PTC INC (Parametric Technology Corp prior to 01/2013),President/CEO,2023-02-20,10,10,Executive Director
2762605,2022-08-01,1468813,Alan Masarek,AVAYA HOLDINGS CORP (De-listed 02/2023),President/CEO,2023-02-15,10,10,Executive Director
69444,2021-11-30,1108033,Bret Taylor,SALESFORCE INC (Salesforce.com Inc prior to 04/2022),Vice Chairman/Co-CEO,2023-01-31,10,10,Executive Director
69444,2021-11-30,375926,Marc Benioff,SALESFORCE INC (Salesforce.com Inc prior to 04/2022),Chairman/Co-CEO,2023-01-31,10,10,Executive Director
17478,2022-01-03,879247,Joaquin Duato,JOHNSON & JOHNSON,CEO,2023-01-28,10,15,Executive Director
22589,2018-03-14,507661,Stan Erck,NOVAVAX INC,President/CEO,2023-01-23,10,10,Executive Director
2825901,2020-02-07,497854,Rob Johnson,VERTIV HOLDINGS CO (GS Acquisition Holdings Corp prior to 02/2020),CEO,2022-12-31,10,10,Executive Director
27219,2021-07-01,485800,Rob Davis,MERCK & CO INC (Schering-Plough Corp prior to 11/2009),President/CEO,2022-12-01,10,10,Executive Director
3408893,2021-06-17,2422313,Jesse Kaplan,GREY WOLF ANIMAL HEALTH CORP (Magen Ventures I Inc prior to 23/2022),CEO/CFO/Corporate Secretary,2022-11-15,10,10,Executive Director
440155,2017-01-06,1694109,Michel Vounatsos,BIOGEN INC (Biogen Idec Inc prior to 03/2015),CEO,2022-11-14,10,10,Executive Director
1830138,2019-11-18,206474,Bill McDermott,SERVICENOW INC,President/CEO,2022-10-25,10,10,Executive Director
3049380,2019-06-27,1315152,Neil de Crescenzo IV,CHANGE HEALTHCARE INC (De-listed 10/2022),President/CEO,2022-10-03,10,10,Executive Director
6959,2021-10-01,52347,Bob Calderoni,CITRIX SYSTEMS INC (De-listed 09/2022),Chairman/Interim President/Interim CEO,2022-09-30,10,10,Executive Director
2762605,2018-01-17,443474,Jim Chirico Jr,AVAYA HOLDINGS CORP (De-listed 02/2023),President/CEO,2022-08-01,10,10,Executive Director
2129696,2019-02-13,1047323,John Chiminski,CATALENT INC (De-listed 12/2024),Chairman/CEO,2022-07-01,10,10,Executive Director
3291073,2020-10-29,2262605,Ravi Vig,ALLEGRO MICROSYSTEMS INC,President/CEO,2022-06-13,10,10,Executive Director
1743287,2016-03-07,495149,Frank Gibeau,ZYNGA INC (De-listed 05/2022),CEO,2022-05-23,10,10,Executive Director
3384931,2021-04-21,1996885,Daniel Dines,UIPATH INC,Chair/CEO,2022-05-16,10,10,Executive Director
27435,2009-01-01,347211,Doctor Clay Siegall,SEAGEN INC (Seattle Genetics Inc prior to 10/2020) (De-listed 12/2023),Chairman/President/CEO,2022-05-15,30,10,Executive Director
4427,2016-05-02,206108,Joe Papa Jr,BAUSCH HEALTH COMPANIES INC (Valeant Pharmaceuticals International Inc prior to 07/2018),Chairman/CEO,2022-05-10,10,10,Executive Director
3198908,2021-12-30,2310470,Doctor Huang Ying,LEGEND BIOTECH CORP,CEO/CFO,2022-05-09,10,10,Executive Director
29816,2012-05-21,64702,Doctor Aart De Geus,SYNOPSYS INC,Chairman/Co-CEO,2022-04-30,10,10,Executive Director
2164733,2016-10-01,1480344,Alistair Macdonald,SYNEOS HEALTH INC (INC Research Holdings Inc prior to 01/2018) (De-listed 09/2023),CEO,2022-04-29,10,10,Executive Director
1916059,2021-08-05,732483,Doctor Quinton Hennigh,NOVO RESOURCES CORP (Galliard Resources Corp prior to 06/2011),Co-Chairman/Acting CEO,2022-04-13,10,10,Executive Director
1916059,2017-10-20,1264832,Rob Humphryson,NOVO RESOURCES CORP (Galliard Resources Corp prior to 06/2011),CEO,2022-04-13,10,10,Executive Director
29816,2021-11-01,64712,Doctor Chi-Foon Chan,SYNOPSYS INC,Co-CEO,2022-04-12,10,10,Executive Director
1813585,2021-11-13,271741,Graham Smith,SPLUNK INC (De-listed 03/2024),Chair/Interim CEO,2022-04-11,10,10,Executive Director
2145,2013-05-06,35469,Vincent Roche,ANALOG DEVICES INC,President/CEO,2022-03-09,10,10,Executive Director
27190,2018-04-23,745229,Mark Benjamin,NUANCE COMMUNICATIONS INC (Scansoft Inc prior to 10/2005) (De-listed 03/2022),CEO,2022-03-04,10,10,Executive Director
3286846,2020-10-22,833256,Peter Leav,MCAFEE CORP (De-listed 03/2022),President/CEO,2022-03-01,10,10,Executive Director
881,2014-10-08,542142,Doctor Lisa Su,ADVANCED MICRO DEVICES INC (AMD),President/CEO,2022-02-14,10,10,Executive Director
33857,2018-01-29,339239,Victor Peng,XILINX INC (De-listed 02/2022),President/CEO,2022-02-14,10,10,Executive Director
3165150,2021-08-03,1310248,Mark Tabak,CLARITEV CORP (MultiPlan Corp prior to 02/2025),Chairman/CEO,2022-01-31,10,10,Executive Director
24637,2016-09-30,549027,Todd Kelsey,PLEXUS CORP,President/CEO,2022-01-26,10,10,Executive Director
27081,2017-08-01,647592,Lino Saputo Jr,SAPUTO INC,Chairman/CEO,2022-01-13,10,10,Executive Director
2924705,2018-10-05,1477017,Shay Banon,ELASTIC NV,Chairman/CEO,2022-01-11,10,10,Executive Director
17478,2012-12-28,747756,Alex Gorsky,JOHNSON & JOHNSON,Chairman/CEO,2022-01-03,10,10,Executive Director
117536,2021-10-28,657842,Doctor Yvonne Greenstreet,ALNYLAM PHARMACEUTICALS INC,President/CEO,2022-01-01,10,10,Executive Director
27977,2021-04-22,536593,George Tuttle,SILICON LABORATORIES INC,CEO,2022-01-01,10,10,Executive Director
117536,2007-12-12,204563,Doctor John Maraganore,ALNYLAM PHARMACEUTICALS INC,CEO,2021-12-31,10,10,Executive Director
3408893,2021-06-17,2669292,Doctor Ian Sandler,GREY WOLF ANIMAL HEALTH CORP (Magen Ventures I Inc prior to 23/2022),CEO,2021-12-31,10,10,Executive Director
5480,2017-11-16,182411,Lip-Bu Tan,CADENCE DESIGN SYSTEMS INC,CEO,2021-12-15,10,10,Executive Director
3158781,2020-02-06,1075579,David Simmons,PPD INC (De-listed 12/2021),Chairman/CEO,2021-12-08,10,10,Executive Director
69444,2020-02-25,375926,Marc Benioff,SALESFORCE INC (Salesforce.com Inc prior to 04/2022),Chairman/CEO,2021-11-30,10,10,Executive Director
1813585,2015-11-19,339339,Doug Merritt,SPLUNK INC (De-listed 03/2024),President/CEO,2021-11-13,10,10,Executive Director
29816,2012-05-21,64712,Doctor Chi-Foon Chan,SYNOPSYS INC,President/Co-CEO,2021-11-01,10,10,Executive Director
17238,2013-03-01,63117,Mark Mondello,JABIL INC (Jabil Circuit Inc prior to 06/2017),CEO,2021-11-01,10,10,Executive Director
6959,2017-07-10,205153,David Henshall,CITRIX SYSTEMS INC (De-listed 09/2022),President/CEO,2021-10-01,10,10,Executive Director
1813890,2018-07-09,1252966,Gary Steele,PROOFPOINT INC (De-listed 08/2021),Chairman/CEO,2021-08-31,10,10,Executive Director
19863,2007-01-01,36387,Tunc Doluca,MAXIM INTEGRATED PRODUCTS INC (De-listed 08/2021),President/CEO,2021-08-26,10,10,Executive Director
21710,2018-04-30,536199,Mike Hayford,NCR VOYIX CORP (NCR Corp prior to 10/2023),President/CEO,2021-08-16,10,10,Executive Director
10364,2013-09-17,1207036,Andrew Wilson,ELECTRONIC ARTS INC,CEO,2021-08-12,10,10,Executive Director
3165150,2020-10-08,1310248,Mark Tabak,CLARITEV CORP (MultiPlan Corp prior to 02/2025),Chairman/President/CEO,2021-08-03,10,10,Executive Director
2504679,2016-08-11,982110,Doctor August Troendle,MEDPACE HOLDINGS INC,Chairman/President/CEO,2021-08-01,10,10,Executive Director
1355,2017-03-27,1077323,Doctor Ludwig Hantson,ALEXION PHARMACEUTICALS INC (De-listed 07/2021),CEO,2021-07-21,10,10,Executive Director
2166779,2014-11-13,334096,Colin Shannon,PRA HEALTH SCIENCES INC (De-listed 07/2021),Chairman/President/CEO,2021-07-01,10,10,Executive Director
25529,2014-03-04,640531,Steve Mollenkopf,QUALCOMM INC,CEO,2021-06-30,10,10,Executive Director
27219,2021-04-01,31551,Ken Frazier,MERCK & CO INC (Schering-Plough Corp prior to 11/2009),Chairman/CEO,2021-06-30,10,10,Executive Director
20601,2014-02-04,499383,Satya Nadella,MICROSOFT CORP,CEO,2021-06-16,10,10,Executive Director
1573,2016-05-11,327486,Liam Griffin,SKYWORKS SOLUTIONS INC (Alpha Industries prior to 6/2002),President/CEO,2021-05-13,10,10,Executive Director
16949,1998-01-02,552050,Doctor Valentin Gapontsev,IPG PHOTONICS CORP,Chairman/CEO,2021-05-04,30,10,Executive Director
27977,2016-02-16,536593,George Tuttle,SILICON LABORATORIES INC,President/CEO,2021-04-22,10,10,Executive Director
27219,2011-12-01,31551,Ken Frazier,MERCK & CO INC (Schering-Plough Corp prior to 11/2009),Chairman/President/CEO,2021-04-01,10,10,Executive Director
20566,2016-02-03,61502,Steve Sanghi,MICROCHIP TECHNOLOGY INC,Chairman/CEO,2021-03-01,10,10,Executive Director
864,2020-10-29,544257,Yuval Wasserman,ADVANCED ENERGY INDUSTRIES INC,President/CEO,2021-03-01,10,10,Executive Director
16239,2019-01-30,48076,Bob Swan,INTEL CORP,CEO,2021-02-15,10,10,Executive Director
3059049,2019-07-18,1523588,Patrick McCaney,HIMS & HERS HEALTH INC (Oaktree Acquisition Corp prior to 01/2021),CEO,2021-01-20,10,10,Executive Director
6905,2020-01-27,498587,Doctor Jason Rhode,CIRRUS LOGIC INC,CEO,2021-01-01,10,10,Executive Director
2125688,2014-07-18,514584,Doctor Jeff Jonas,SAGE THERAPEUTICS INC (De-listed 07/2025),President/CEO,2020-12-15,10,10,Executive Director
23134,2002-11-19,200418,Keith Jackson,ON SEMICONDUCTOR CORP,President/CEO,2020-12-07,10,10,Executive Director
864,2020-05-20,544257,Yuval Wasserman,ADVANCED ENERGY INDUSTRIES INC,CEO,2020-10-29,10,10,Executive Director
3165150,2020-02-14,376149,Michael Klein,CLARITEV CORP (MultiPlan Corp prior to 02/2025),Chairman/President/CEO,2020-10-08,10,10,Executive Director
2292952,2015-06-05,202679,Frank Williams,EVOLENT HEALTH INC,Chairman/CEO,2020-10-01,10,10,Executive Director
947629,2020-05-24,735088,Doctor Shawn Qu,CANADIAN SOLAR INC,Chairman/CEO,2020-09-29,10,10,Executive Director
3198908,2020-08-01,1679156,Doctor Frank Zhang,LEGEND BIOTECH CORP,Chairman/CEO,2020-09-21,10,10,Executive Director
2660935,2018-06-01,70477,Ajay Shah,PENGUIN SOLUTIONS INC (SMART Global Holdings Inc prior to 10/2024),Chairman/President/CEO,2020-08-31,20,10,Executive Director
1562505,2011-01-25,2413290,Paddy Nicol,OROGEN ROYALTIES INC (Evrim Resources Corp prior to 08/2020),President/CEO,2020-08-18,10,10,Executive Director
27025,2019-12-09,807018,Hartmut Liebel,SANMINA CORP (Sanmina-SCI Corp prior to 11/2012),CEO,2020-08-17,10,10,Executive Director
3198908,2020-06-05,2179602,Doctor Yuan Xu,LEGEND BIOTECH CORP,CEO,2020-08-02,10,10,Executive Director
21903,2016-05-20,1448606,George Kurian,NETAPP INC (Network Appliance Inc prior to 03/2008),President/CEO,2020-07-01,10,10,Executive Director
2200546,2014-12-23,1491889,Shaun Thaxter,INDIVIOR PLC,CEO,2020-06-27,10,10,Executive Director
2079,2013-05-08,647302,Steve Kelley,AMKOR TECHNOLOGY INC,President/CEO,2020-06-17,10,10,Executive Director
1228,2019-01-24,1265100,Doug Boothe,AKORN INC (De-listed 06/2020),President/CEO,2020-06-01,10,10,Executive Director
1656513,2018-09-09,82157,Rick Clemmer,NXP SEMICONDUCTORS NV,CEO,2020-05-27,10,10,Executive Director
947629,2006-11-09,735088,Doctor Shawn Qu,CANADIAN SOLAR INC,Chairman/President/CEO,2020-05-24,10,10,Executive Director
864,2014-10-01,544257,Yuval Wasserman,ADVANCED ENERGY INDUSTRIES INC,President/CEO,2020-05-20,10,10,Executive Director
9322,2005-06-01,34717,Doctor Keh-Shew Lu,DIODES INC,President/CEO,2020-05-18,10,10,Executive Director
8542,2016-08-10,1269387,Hassane El-Khoury,CYPRESS SEMICONDUCTOR CORP (De-listed 04/2020),President/CEO,2020-04-17,10,10,Executive Director
32537,2012-05-22,33491,Professor Doctor Jeff Leiden,VERTEX PHARMACEUTICALS INC,Chairman/President/CEO,2020-03-31,10,10,Executive Director
33382,2015-10-18,325964,Steve Milligan,WESTERN DIGITAL CORP,CEO,2020-03-09,10,10,Executive Director
69444,2018-08-07,375926,Marc Benioff,SALESFORCE INC (Salesforce.com Inc prior to 04/2022),Chairman/Co-CEO,2020-02-25,10,10,Executive Director
69444,2018-08-07,33569,Keith Block,SALESFORCE INC (Salesforce.com Inc prior to 04/2022),Co-CEO,2020-02-25,10,10,Executive Director
2825901,2018-06-12,36856,Dave Cote,VERTIV HOLDINGS CO (GS Acquisition Holdings Corp prior to 02/2020),Chairman/President/CEO/Secretary,2020-02-07,10,10,Executive Director
21606,2018-10-23,205003,Alex Davern,NATIONAL INSTRUMENTS CORP (De-listed 10/2023),CEO,2020-01-31,10,10,Executive Director
17053,1999-02-01,320726,Doctor Stanley Crooke,IONIS PHARMACEUTICALS INC (Isis Pharmaceuticals Inc prior to 12/2015),Chairman/President/CEO,2020-01-28,20,15,Executive Director
6905,2007-05-17,498587,Doctor Jason Rhode,CIRRUS LOGIC INC,President/CEO,2020-01-27,10,10,Executive Director
24296,2019-01-01,1361005,Doctor Albert Bourla,PFIZER INC,CEO,2020-01-01,10,10,Executive Director
1929138,2013-02-01,1075570,Juan Alaix,ZOETIS INC,CEO,2019-12-31,10,10,Executive Director
6177,2018-02-05,1203855,Mark Alles,CELGENE CORP (De-listed 11/2019),Chairman/CEO,2019-11-20,10,10,Executive Director
1830138,2017-04-03,103257,John Donahoe II,SERVICENOW INC,President/CEO,2019-11-18,10,10,Executive Director
29774,2019-05-09,59002,Rick Hill,GEN DIGITAL INC (NortonLifeLock Inc prior to 11/2022),Interim President/Interim CEO,2019-11-08,10,10,Executive Director
23295,2014-09-17,86007,Mark Hurd,ORACLE CORP,Co-CEO,2019-10-18,10,10,Executive Director
23295,2014-09-17,33503,Safra Catz,ORACLE CORP,Co-CEO,2019-10-18,10,10,Executive Director
27025,2018-10-01,456223,Michael Clarke,SANMINA CORP (Sanmina-SCI Corp prior to 11/2012),CEO,2019-09-30,10,10,Executive Director
2231001,2019-08-14,1398251,Guy Sella,SOLAREDGE TECHNOLOGIES INC,Co-Chairman/CEO,2019-08-25,10,10,Executive Director
2231001,2015-03-26,1398251,Guy Sella,SOLAREDGE TECHNOLOGIES INC,Chairman/CEO,2019-08-14,10,10,Executive Director
1792728,2012-01-25,1192485,Marcus Ryu,GUIDEWIRE SOFTWARE INC,President/CEO,2019-08-03,10,10,Executive Director
1560214,2018-05-04,1054826,Robert Stewart,AMNEAL PHARMACEUTICALS INC (Impax Laboratories Inc prior to 05/2018),President/CEO,2019-08-02,10,10,Executive Director
1953153,2016-09-16,1768029,Adam Selipsky,TABLEAU SOFTWARE INC (De-listed 08/2019),President/CEO,2019-08-01,10,10,Executive Director
25895,2008-01-01,333755,Jim Whitehurst,RED HAT INC (De-listed 07/2019),President/CEO,2019-07-09,10,10,Executive Director
29774,2018-11-29,1068227,Greg Clark,GEN DIGITAL INC (NortonLifeLock Inc prior to 11/2022),President/CEO/Principal Executive Officer,2019-05-09,10,10,Executive Director
550958,2018-03-26,510212,Dan Abdun-Nabi,EMERGENT BIOSOLUTIONS INC,CEO,2019-03-31,10,10,Executive Director
4002,2016-09-16,106062,Paul Tufano,BENCHMARK ELECTRONICS INC,President/CEO,2019-03-18,10,10,Executive Director
462108,2011-09-28,330400,Rick Bergman,SYNAPTICS INC,President/CEO,2019-03-14,10,10,Executive Director
2129696,2016-10-25,1047323,John Chiminski,CATALENT INC (De-listed 12/2024),Chairman/President/CEO,2019-02-13,10,10,Executive Director
1706477,2017-09-18,8391,Roger Lynch,PANDORA MEDIA INC (De-listed 02/2019),President/CEO,2019-02-01,10,10,Executive Director
24296,2011-12-12,485621,Ian Read,PFIZER INC,Chairman/CEO,2019-01-01,10,10,Executive Director
13273,2016-03-10,48201,Doctor John Milligan,GILEAD SCIENCES INC,President/CEO,2018-12-31,10,10,Executive Director
16626,2016-01-21,444827,Brad Smith,INTUIT INC,Chairman/President/CEO,2018-12-31,10,10,Executive Director
12102,2006-01-01,377031,Mike McNamara,FLEX LTD (Flextronics International Ltd prior to 09/2016),CEO,2018-12-31,10,10,Executive Director
29774,2016-08-01,1068227,Greg Clark,GEN DIGITAL INC (NortonLifeLock Inc prior to 11/2022),CEO,2018-11-29,10,10,Executive Director
105052,2015-09-01,339859,Steve Davis,ACADIA PHARMACEUTICALS INC,President/CEO,2018-11-19,10,10,Executive Director
21606,2017-01-25,205003,Alex Davern,NATIONAL INSTRUMENTS CORP (De-listed 10/2023),President/CEO,2018-10-23,10,10,Executive Director
24205,2018-01-15,650660,Uwe Röhrhoff,PERRIGO COMPANY PLC (Perrigo Co prior to 12/2013),President/CEO,2018-10-08,10,10,Executive Director
1656513,2010-08-06,82157,Rick Clemmer,NXP SEMICONDUCTORS NV,President/CEO,2018-09-09,10,10,Executive Director
27025,2017-10-02,204362,Bob Eulau,SANMINA CORP (Sanmina-SCI Corp prior to 11/2012),CEO,2018-08-31,10,10,Executive Director
69444,2001-11-01,375926,Marc Benioff,SALESFORCE INC (Salesforce.com Inc prior to 04/2022),Chairman/CEO,2018-08-07,20,10,Executive Director
6495,2018-02-13,142122,Jim Foster,CHARLES RIVER LABORATORIES INTERNATIONAL INC,Chairman/CEO,2018-08-02,10,10,Executive Director
30509,2018-06-01,1089168,Brian Crutcher,TEXAS INSTRUMENTS INC,President/CEO,2018-07-17,10,10,Executive Director
1813890,2017-01-01,1252966,Gary Steele,PROOFPOINT INC (De-listed 08/2021),CEO,2018-07-09,30,10,Executive Director
2660935,2018-03-14,70477,Ajay Shah,PENGUIN SOLUTIONS INC (SMART Global Holdings Inc prior to 10/2024),Chairman/Co-CEO,2018-06-28,10,15,Executive Director
2660935,2018-03-14,552034,Iain MacKenzie,PENGUIN SOLUTIONS INC (SMART Global Holdings Inc prior to 10/2024),President/Co-CEO,2018-06-28,10,15,Executive Director
16239,2013-05-16,764621,Brian Krzanich,INTEL CORP,CEO,2018-06-20,10,10,Executive Director
30509,2008-04-17,13520,Rich Templeton,TEXAS INSTRUMENTS INC,Chairman/President/CEO,2018-06-01,10,10,Executive Director
20600,2013-11-12,201550,Jimmy Peterson,MICROSEMI CORP (De-listed 05/2018),Chairman/CEO,2018-05-29,10,10,Executive Director
1569335,2017-03-06,375436,Joe Conway,PRIMERO MINING CORP (Mala Noche Resources Corp prior to 08/2010) (De-listed 05/2018),Interim President/CEO,2018-05-10,10,10,Executive Director
1560214,2017-03-27,61782,Paul Bisaro,AMNEAL PHARMACEUTICALS INC (Impax Laboratories Inc prior to 05/2018),President/CEO,2018-05-04,10,10,Executive Director
21710,2016-10-01,201483,Bill Nuti,NCR VOYIX CORP (NCR Corp prior to 10/2023),Chairman/CEO,2018-04-30,20,10,Executive Director
550958,2012-04-01,510212,Dan Abdun-Nabi,EMERGENT BIOSOLUTIONS INC,President/CEO,2018-03-26,10,10,Executive Director
22589,2017-11-10,507661,Stan Erck,NOVAVAX INC,President/CEO/Interim CFO,2018-03-14,10,10,Executive Director
2660935,2017-05-24,552034,Iain MacKenzie,PENGUIN SOLUTIONS INC (SMART Global Holdings Inc prior to 10/2024),President/CEO,2018-03-14,10,10,Executive Director
2607844,2017-02-01,1123231,John Cox,BIOVERATIV INC (De-listed 03/2018),CEO,2018-03-08,10,10,Executive Director
27190,2000-08-21,275794,Paul Ricci,NUANCE COMMUNICATIONS INC (Scansoft Inc prior to 10/2005) (De-listed 03/2022),Chairman/CEO,2018-02-28,10,10,Executive Director
6495,2000-06-01,142122,Jim Foster,CHARLES RIVER LABORATORIES INTERNATIONAL INC,Chairman/President/CEO,2018-02-13,20,10,Executive Director
6177,2016-03-01,1203855,Mark Alles,CELGENE CORP (De-listed 11/2019),CEO,2018-02-05,10,10,Executive Director
2358912,2017-06-20,34345,Meg Whitman,HEWLETT PACKARD ENTERPRISE CO,CEO,2018-02-01,10,10,Executive Director
34156,2017-04-09,496482,Doctor Larry Dillaha,REPROS THERAPEUTICS INC (Zonagen prior to 05/2006) (De-listed 01/2018),President/CEO,2018-01-31,10,10,Executive Director
33857,2008-02-14,350055,Moshe Gavrielov,XILINX INC (De-listed 02/2022),President/CEO,2018-01-29,10,10,Executive Director
24205,2016-06-13,270780,John Hendrickson,PERRIGO COMPANY PLC (Perrigo Co prior to 12/2013),CEO,2018-01-15,10,10,Executive Director
1813890,2012-04-20,1252966,Gary Steele,PROOFPOINT INC (De-listed 08/2021),President/CEO,2017-12-28,10,25,Executive Director
484488,2013-08-01,486806,Randal Nardone,FORTRESS INVESTMENT GROUP LLC (De-listed 12/2017),Principal/CEO,2017-12-27,10,10,Executive Director
21929,2017-10-19,206587,Doctor Kevin Gorman,NEUROCRINE BIOSCIENCES INC,CEO/Interim CFO,2017-11-20,10,10,Executive Director
5480,2009-01-08,182411,Lip-Bu Tan,CADENCE DESIGN SYSTEMS INC,President/CEO,2017-11-16,10,10,Executive Director
22589,2011-04-19,507661,Stan Erck,NOVAVAX INC,President/CEO,2017-11-10,10,10,Executive Director
21929,2017-01-09,206587,Doctor Kevin Gorman,NEUROCRINE BIOSCIENCES INC,CEO,2017-10-19,10,10,Executive Director
27025,2002-12-06,83652,Jure Sola,SANMINA CORP (Sanmina-SCI Corp prior to 11/2012),Chairman/CEO,2017-10-02,10,10,Executive Director
27411,2013-10-23,49516,Dato' Steve Luczo,SEAGATE TECHNOLOGY HOLDINGS PLC (Seagate Technology PLC prior to 05/2021),Chairman/CEO,2017-10-01,10,10,Executive Director
23799,2012-07-01,324013,Josef Von Rickenbach,PAREXEL INTERNATIONAL CORP (De-listed 09/2017),Chairman/CEO,2017-09-29,10,10,Executive Director
8220,2005-04-27,90127,Chuck Swoboda,WOLFSPEED INC (Cree Inc prior to 10/2021),Chairman/President/CEO,2017-09-27,10,10,Executive Director
1810090,2012-03-30,1202489,Paul Nahi,ENPHASE ENERGY INC,President/CEO,2017-08-08,10,10,Executive Director
27081,2012-04-01,647592,Lino Saputo Jr,SAPUTO INC,Vice Chairman/CEO,2017-08-01,10,10,Executive Director
488272,2015-01-19,321685,Jim Scholhamer,ULTRA CLEAN HOLDINGS INC,CEO,2017-07-31,10,10,Executive Director
6959,2016-01-25,272180,Kirill Tatarinov,CITRIX SYSTEMS INC (De-listed 09/2022),President/CEO,2017-07-07,10,10,Executive Director
1706477,2016-03-25,1123881,Tim Westergren,PANDORA MEDIA INC (De-listed 02/2019),CEO,2017-06-27,10,10,Executive Director
725,2008-07-09,69696,Bobby Kotick,ACTIVISION BLIZZARD INC (De-listed 10/2023),President/CEO,2017-06-26,10,10,Executive Director
3218,2017-04-03,1118666,Doctor Ed Kaye,SAREPTA THERAPEUTICS INC (AVI BioPharma Inc prior to 07/2012),President/CEO,2017-06-26,10,10,Executive Director
2358912,2015-11-02,34345,Meg Whitman,HEWLETT PACKARD ENTERPRISE CO,President/CEO,2017-06-20,10,10,Executive Director
1916059,2011-04-07,732483,Doctor Quinton Hennigh,NOVO RESOURCES CORP (Galliard Resources Corp prior to 06/2011),President/CEO,2017-06-05,10,10,Executive Director
18888,2017-01-01,1068880,Dave Ricks,ELI LILLY & CO,President/CEO,2017-06-01,10,10,Executive Director
600759,2016-09-12,1094011,Ron Lombardi,PRESTIGE CONSUMER HEALTHCARE INC (Prestige Brands Holdings (PBH) Inc prior to 08/2018),President/CEO,2017-05-28,10,15,Executive Director
20589,2012-02-04,56477,D Durcan,MICRON TECHNOLOGY INC,CEO,2017-05-08,10,10,Executive Director
5118,2016-12-01,857412,Doctor Giovanni Caforio,BRISTOL-MYERS SQUIBB CO,Chairman Elect/CEO,2017-05-02,20,10,Executive Director
3218,2016-09-20,1118666,Doctor Ed Kaye,SAREPTA THERAPEUTICS INC (AVI BioPharma Inc prior to 07/2012),President/CEO/Chief Medical Officer,2017-04-03,10,10,Executive Director
1830138,2016-10-25,843302,Frank Slootman,SERVICENOW INC,Chairman/President/CEO,2017-04-03,10,10,Executive Director
1355,2016-12-11,332327,Dave Brennan,ALEXION PHARMACEUTICALS INC (De-listed 07/2021),Interim CEO,2017-03-27,10,10,Executive Director
1560214,2016-12-19,205267,J Buchi,AMNEAL PHARMACEUTICALS INC (Impax Laboratories Inc prior to 05/2018),Interim President/Interim CEO,2017-03-27,10,10,Executive Director
18926,2005-09-02,45781,Lothar Maier,LINEAR TECHNOLOGY CORP (De-listed 03/2017),CEO,2017-03-10,10,10,Executive Director
1569335,2016-01-31,879360,Ernie Mast,PRIMERO MINING CORP (Mala Noche Resources Corp prior to 08/2010) (De-listed 05/2018),President/CEO,2017-03-06,10,10,Executive Director
34156,2009-11-16,376225,Joseph Podolski,REPROS THERAPEUTICS INC (Zonagen prior to 05/2006) (De-listed 01/2018),President/CEO,2017-02-01,10,10,Executive Director
23141,2016-11-02,790419,Doctor Matt Coffey,ONCOLYTICS BIOTECH INC,Interim President/CEO,2017-01-19,10,10,Executive Director
21929,2008-01-10,206587,Doctor Kevin Gorman,NEUROCRINE BIOSCIENCES INC,President/CEO,2017-01-09,10,10,Executive Director
440155,2010-07-15,272786,Doctor George Scangos,BIOGEN INC (Biogen Idec Inc prior to 03/2015),CEO,2017-01-06,10,10,Executive Director
