directorid,directorname,companyname,qualification,fulltextdescription,primarykeyid,companyid,awarddate,awarddateflag
499383,Satya Nadella,Manipal Institute of Technology (MIT),BS,,1384689,493688,9999-12-31,80
499383,Satya Nadella,University of Chicago Booth School of Business (University of Chicago Graduate School of Business prior to 2008),MBA,,1615445,1342262,1996-12-28,25
499843,Mike Pearson,Duke University,BSE,,657382,60547,1981-12-28,25
499843,Mike Pearson,Duke University,BS (summa Cum Laude),,657381,60547,1981-12-28,25
499843,Mike Pearson,Darden School of Business University of Virginia (Formerly known as Colgate Darden School of Business University of Virginia),MBA,,657383,53191,9999-12-31,80
499952,Chen Schor,Tel Aviv University,MBA,,530480,62031,9999-12-31,80
499952,Chen Schor,University of Haifa,BA,,530482,62347,9999-12-31,80
499952,Chen Schor,Tel Aviv University,BA,,530481,62031,9999-12-31,80
499952,Chen Schor,American Institute of Certified Public Accountants (AICPA),Certified Public Accountant,,530484,54373,9999-12-31,80
500777,Doug Swirsky,Kellogg School of Management Northwestern University,MBA,,531697,77878,1997-12-28,25
500777,Doug Swirsky,Institute of Chartered Financial Analysts (ICFA) (USA),Chartered Financial Analyst,,531814,41274,2005-09-28,15
500777,Doug Swirsky,American Institute of Certified Public Accountants (AICPA),Certified Public Accountant,,531695,54373,9999-12-31,80
500777,Doug Swirsky,Boston University,BS,,531696,60195,1992-12-28,25
500902,Stacey Stevens,Boston University School of Management,MBA,,531916,591811,2000-12-28,25
500902,Stacey Stevens,University of New Hampshire,BA,,531914,62520,1989-12-31,25
501606,Doctor David Young,University of California,BS,,811371,63186,9999-12-31,80
501606,Doctor David Young,University of Southern California (USC),PhD,,543784,62673,1982-12-31,25
501606,Doctor David Young,University of Wisconsin-Madison,MS,,811373,751347,1976-12-28,25
501606,Doctor David Young,University of Southern California (USC),Doctorate,,543785,62673,1981-12-31,25
502169,Robert Ortberg,University of Iowa College of Engineering,BSME,,587098,1691060,1982-12-28,25
502749,Paul Brennan,Licensing Executives Society (USA and Canada) Inc,Certified Licensing Professional (CLP),,1259663,76677,9999-12-31,80
502749,Paul Brennan,Queen's University,MSc,,534899,63329,1989-12-28,25
502749,Paul Brennan,Queen's University,BSc (Hons),,1201645,63329,9999-12-31,80
503517,Bob Rieder,University of British Columbia (UBC),BASc,,542075,62203,1969-12-31,25
503517,Bob Rieder,University of Western Ontario,MBA,,542067,62795,1984-12-31,25
503885,George Heard,University of Montana School of Mines & Engineering,BSc,,536104,491121,1975-12-28,25
503885,George Heard,Engineers Canada (Canadian Council of Professional Engineers prior to 2014),PEng,,536107,1210133,9999-12-31,80
503885,George Heard,University of Hawaii Inc (UH) (The),MBA,,536105,62352,1988-12-28,25
506700,Rick Stewart,School of Management University of Bath,BS,,542233,61798,1981-12-28,25
507257,Michael Tardugno,Harvard Business School Harvard University,Executive Program,,547919,63013,1992-12-28,25
507257,Michael Tardugno,St Bonaventure University,BS,,547918,79974,1973-12-28,25
507530,Stéphane Bancel,University of Minnesota,MS,,560029,62475,1995-12-28,25
507530,Stéphane Bancel,Harvard Business School Harvard University,MBA,,542711,63013,2000-12-28,25
507530,Stéphane Bancel,École Centrale Paris (École centrale des arts et manufactures) (ECP) (Ceased Trading 01/2015),MEng,,542709,60576,1995-12-28,25
507766,Rajesh Vashist,National Institute of Technology (NIT) Rourkela (Formerly Known as Regional Engineering College Rourkela (REC Rourkela)),BS,,543074,1651418,1980-12-28,25
507766,Rajesh Vashist,Marquette University,MBA,,543075,61231,1983-12-28,25
508234,Antonio Pietri,University of Tulsa (TU),BS,,543638,89471,1987-12-28,25
508234,Antonio Pietri,University of Houston,MBA,,543636,62360,1988-12-28,25
508725,Mike Raab,DePauw University,BA,,544303,60500,1987-12-31,25
509290,Cary Claiborne,Villanova University,MBA,,545073,62858,1987-12-31,25
509290,Cary Claiborne,National Association of Corporate Directors (NACD) (USA),Fellow,,4165731,69495,9999-12-31,80
509290,Cary Claiborne,State University of New Jersey Rutgers (Rutgers University),BA,,545074,100431,1982-12-28,25
509426,Emil Assentato,Hofstra University,Graduated,,1165005,60871,1971-12-28,25
510345,Doctor Laurent Fischer,Faculty of Medicine Université de Genève,MD,,546828,3883887,1989-12-28,25
510345,Doctor Laurent Fischer,Université de Geneve (University of Geneva),Degree,,825074,62332,9999-12-31,80
510983,Bill Newell,Dartmouth College,AB,,547675,60488,1979-12-31,25
510983,Bill Newell,University of Michigan Law School,JD,,547676,75652,1983-12-31,25
511569,John Scannell,Harvard Business School Harvard University,MBA,,823585,63013,1997-12-28,25
511569,John Scannell,University College Cork (UCC),BS,,823583,493744,9999-12-31,80
511569,John Scannell,University College Cork (UCC),MS,,823584,493744,9999-12-31,80
511606,Doctor Hong Hou,Jilin University,BS,,1203449,857521,1985-12-28,25
511606,Doctor Hong Hou,Chinese Academy of Sciences,MS,,1203448,550055,1988-12-28,25
511606,Doctor Hong Hou,Stanford University,Executive Management Course,,1203452,61935,9999-12-31,80
511606,Doctor Hong Hou,University of California San Diego (UCSD),PhD,,547625,79941,1993-12-28,25
512989,Doctor David Meeker,University of Vermont,MD,,549558,62771,9999-12-31,80
512989,Doctor David Meeker,Harvard Business School Harvard University,Advanced Management Program,,1101172,63013,2000-12-28,25
512989,Doctor David Meeker,Dartmouth College,Attended,,549557,60488,9999-12-31,80
513201,Jon Stonehouse,University of Minnesota,BS,,549829,62475,9999-12-31,80
513279,Darin Billerbeck,University of California Davis,BS,,549973,62216,1981-12-31,25
513941,David Elsley,Ivey Business School University of Western Ontario,MBA,,551556,485046,1995-12-28,25
514236,Greg Flesher,Indiana University School of Medicine,Doctorate,,551405,78527,9999-12-31,80
514236,Greg Flesher,Purdue University,BS,,551404,61638,9999-12-31,80
514584,Doctor Jeff Jonas,Harvard Medical School Harvard University,MD,,551604,63348,1979-12-31,25
514584,Doctor Jeff Jonas,Harvard Medical School Harvard University,Completed,,1649817,63348,9999-12-31,80
514584,Doctor Jeff Jonas,Amherst College,BA,,1649816,60055,9999-12-31,80
515918,Doctor Nessan Bermingham,Queen's University Belfast,BS,,1203924,61648,9999-12-31,80
515918,Doctor Nessan Bermingham,Imperial College London (The Imperial College of Science Technology and Medicine),PhD,Molecular Neurogenetics,553984,63104,1999-12-28,25
517563,Beena Goldenberg,McGill University (Canada),MEng,,3307987,61248,9999-12-31,80
517563,Beena Goldenberg,McGill University (Canada),BEng,,3307986,61248,9999-12-31,80
530237,J Strange,Georgia Institute of Technology (GIT) (Georgia Tech),BS,,570175,60751,9999-12-31,80
530237,J Strange,Georgia State University (GSU),MBA,,570176,60755,9999-12-31,80
534543,Bob Bradway,Harvard University,MBA,,642130,63830,9999-12-31,80
534543,Bob Bradway,Amherst College,BA,,642129,60055,9999-12-31,80
535324,Brigadier General Bill Weber,Washington University St Louis,BS,,575689,82206,1987-12-28,25
535324,Brigadier General Bill Weber,Darden School of Business University of Virginia (Formerly known as Colgate Darden School of Business University of Virginia),Executive Program,,840180,53191,2008-12-28,25
536165,John Butler,Manhattan College,BA,,577585,61218,1986-12-28,25
536165,John Butler,Bernard M Baruch College City University of New York (CUNY),MBA,,577584,81866,1994-12-28,25
536199,Mike Hayford,University of Wisconsin La Crosse,Bachelor's Degree,,1245916,62813,9999-12-31,80
536199,Mike Hayford,Kellogg School of Management Northwestern University,MBA,,580153,77878,9999-12-31,80
536199,Mike Hayford,American Institute of Certified Public Accountants (AICPA),Certified Public Accountant,,580155,54373,9999-12-31,80
536741,Faheem Hasnain,University of Windsor,BEd,,642701,62800,1983-12-28,25
536741,Faheem Hasnain,University of Windsor,Bachelor's Degree,,642702,62800,9999-12-31,80
537829,Rodney Varner,School of Law University of Texas Austin,JD,,1285385,533430,1978-06-28,15
537829,Rodney Varner,Texas A&M University,BBA (magna cum laude),,1285386,62040,1976-12-28,25
540099,Mark Adams,Harvard Business School Harvard University,MBA,,581280,63013,1995-12-28,25
540099,Mark Adams,Boston College (BC),BA,,581279,60193,1987-12-28,25
540927,Scott Smith,University of Western Ontario,BS (Hons),,1678326,62795,1985-12-28,25
540927,Scott Smith,University of Western Ontario,BS,,582140,62795,1983-12-28,25
540927,Scott Smith,American Graduate School of International Management (Thunderbird),Masters Degree,,582139,44551,1987-12-28,25
541897,David Hallal,University of New Hampshire,BA,,583976,62520,9999-12-31,80
542142,Doctor Lisa Su,Massachusetts Institute of Technology (MIT),BS,,582893,40436,9999-12-31,80
542142,Doctor Lisa Su,Massachusetts Institute of Technology (MIT),MS,,582894,40436,1991-12-28,25
542142,Doctor Lisa Su,Massachusetts Institute of Technology (MIT),PhD,,582895,40436,1994-12-31,25
543080,Matthias Alder,Universitat Basel (University of Basel),JD (magna Cum Laude),,585052,62183,1988-12-31,25
543080,Matthias Alder,University of Miami Florida,LLM,,585053,62467,1990-12-31,25
543117,Overton Parrish Jr,Lawrence University,BS,,584306,61137,9999-12-31,80
543117,Overton Parrish Jr,University of Chicago,MBA,,584307,42092,9999-12-31,80
543253,Doctor Barry Quart,University of California San Francisco (UCSF),PharmD,,584493,62221,9999-12-31,80
543362,Doug McCrosson,Polytechnic University,MSc,,584720,64274,1990-12-31,25
543362,Doug McCrosson,State University of New York Buffalo (SUNYB) (University at Buffalo) (Formerly known as University of Buffalo),BS,,584719,83168,1984-12-31,25
544533,Neil Barua,Leonard N Stern School of Business New York University,BSc,,593228,42226,9999-12-31,80
545407,Steve Fife,Brigham Young University (BYU),BS,,587369,60212,1983-12-28,25
545407,Steve Fife,American Institute of Certified Public Accountants (AICPA),Certified Public Accountant,,587358,54373,9999-12-31,80
547928,Raul Claure,Bentley University (Bentley College prior to 10/2008),BS,,695220,60157,1993-12-28,25
550037,Doctor Anirudh Devgan,Indian Institute of Technology (IIT) Delhi,BTech,,591763,87237,1990-12-31,25
550037,Doctor Anirudh Devgan,Carnegie Mellon University,MS,,591765,41519,1991-12-31,25
550037,Doctor Anirudh Devgan,Carnegie Mellon University,PhD,,591764,41519,1993-12-31,25
550152,Doctor Neil Desai,University of Texas at Austin (UT Austin),PhD,,592026,62742,9999-12-31,80
550152,Doctor Neil Desai,University of Mumbai (University of Bombay prior to 09/1996),BS,,592024,76151,9999-12-31,80
550152,Doctor Neil Desai,University of Texas at Austin (UT Austin),MS,,592025,62742,9999-12-31,80
550611,Lisa Conte,Tuck School of Business Dartmouth,MBA,,593063,632975,1985-12-28,25
550611,Lisa Conte,Dartmouth College,AB,,593061,60488,1981-12-28,25
550611,Lisa Conte,University of California San Diego (UCSD),MS,,593062,79941,1985-12-28,25
552034,Iain MacKenzie,Kirkcaldy Technical College Scotland,Higher Diploma,,594425,881084,1979-12-28,25
552344,Mark Iwicki,Ball State University,BS,,673778,79279,1989-12-28,25
552344,Mark Iwicki,Loyola University Maryland,MBA,,673779,1714053,1992-12-28,25
552648,Doctor Jonathan Lim,Stanford University,MS,,594922,61935,9999-12-31,80
552648,Doctor Jonathan Lim,Stanford University,BS (Hons),,594921,61935,9999-12-31,80
552648,Doctor Jonathan Lim,McGill University (Canada),MD,,594920,61248,9999-12-31,80
552648,Doctor Jonathan Lim,Harvard University,MPH,,594919,63830,9999-12-31,80
552883,Paul Cleveland,Washington University St Louis,BA,,595293,82206,1978-12-28,25
552883,Paul Cleveland,Northwestern University Pritzker School of Law,JD,,595292,638744,1981-12-28,25
553344,Chris Lowe,Bellarmine College Preparatory,Graduated,,2648982,1355437,9999-12-31,80
553344,Chris Lowe,California Polytechnic State University San Luis Obispo (Cal Poly San Luis Obispo),BS,,596199,60249,1989-12-28,25
553344,Chris Lowe,Saint Mary's University,MBA,,596200,491618,1999-12-28,25
553586,David Socks,Graduate School of Education Stanford University,MBA,,596305,863758,9999-12-31,80
553586,David Socks,Georgetown University,BS (cum laude),,596304,60750,9999-12-31,80
556112,Doctor Sean McCarthy,King's College London,BSc (Hons),,641898,40903,1990-12-28,25
556112,Doctor Sean McCarthy,St John's College University of Oxford,DPhil,,641897,63269,1993-12-28,25
556112,Doctor Sean McCarthy,Rady School of Management University of California San Diego,MBA,,1209434,1334285,2006-12-28,25
556282,Hoji Alimi,Sonoma State University,BA,,643240,378257,1995-12-28,25
556870,Sasan Goodarzi,Kellogg School of Management Northwestern University,MBA,,643357,77878,2002-12-28,25
556870,Sasan Goodarzi,University of Central Florida (UCF),BSEE,,643356,80620,1989-12-28,25
557447,Allen Greene,City University of New York (CUNY),BBA,,644567,60372,1968-12-28,25
557447,Allen Greene,City University of New York (CUNY),MBA,,644565,60372,1971-12-28,25
592729,Doctor Chris Anzalone,Lawrence University,BA,,646967,61137,1991-12-28,25
592729,Doctor Chris Anzalone,University of California Los Angeles (UCLA),MA,,646965,62218,9999-12-31,80
592729,Doctor Chris Anzalone,University of California Los Angeles (UCLA),PhD,,646966,62218,9999-12-31,80
593544,Denny Lanfear,UCLA Anderson School of Management,MBA,,648082,2460934,9999-12-31,80
593544,Denny Lanfear,Michigan State University (MSU),BS,,648081,61278,9999-12-31,80
594067,Keith Leonard Jr,University of California Berkeley,MS,,648429,62215,1990-12-28,25
594067,Keith Leonard Jr,University of California Los Angeles (UCLA),BS (cum laude),,648430,62218,1984-12-28,25
594067,Keith Leonard Jr,University of Maryland College Park,BA,,648433,62449,1987-12-28,25
594067,Keith Leonard Jr,Laurence and Lori Fink Center for Finance & Investments UCLA Anderson School of Management,MBA,,648428,1623847,1995-12-28,25
595051,Bill Lupien,Pasadena City College,Attended,,2512557,142266,1962-12-28,25
595051,Bill Lupien,San Diego State University (SDSU),BS,,650090,61775,1965-12-28,25
595054,Bill Sheriff,University of Texas at El Paso (UTEP),MSc,,1085183,464210,1982-12-28,25
595054,Bill Sheriff,Fort Lewis College,BSc,,650319,572961,1980-12-28,25
595660,John Gill,American Institute of Certified Public Accountants (AICPA),Certified Public Accountant,,650793,54373,9999-12-31,80
595660,John Gill,Unknown Organisation,PhD,,865624,0,9999-12-31,80
595660,John Gill,State University of New Jersey Rutgers (Rutgers University),BA,,650792,100431,1975-12-28,25
595664,Eric Richman,City University of New York (CUNY),BS,,650648,60372,1985-12-28,25
595664,Eric Richman,American Graduate School of International Management (Thunderbird),MBA,,650640,44551,1987-12-28,25
596787,I Garr,Drew University,Graduated,,652895,60541,1976-12-28,25
596787,I Garr,Catholic University of America Columbus School of Law,JD,,652898,79142,1979-12-28,25
596933,Doctor Robin Smith,Wharton School (The) University of Pennsylvania,MBA,,652872,64966,1997-12-28,25
596933,Doctor Robin Smith,Yale University,BA,,1193467,62981,1986-12-28,25
596933,Doctor Robin Smith,Yale University,MD (cum laude),,652871,62981,1992-12-28,25
596933,Doctor Robin Smith,National Board of Medical Examiners (NBMA) (USA),Certified,,1196087,36776,1994-12-28,25
596936,Lori Holmes-Woods,Loma Linda University,BS,,653238,481203,1984-12-28,25
596939,Dwight Babcock,University of Arizona (UOA),Graduated,,653279,62155,9999-12-31,80
597715,Jeff Wolf,University of Chicago,BA (Hons),,653780,42092,1985-12-28,25
597715,Jeff Wolf,Stanford Graduate School of Business,MBA,,653781,67360,1990-12-28,25
597715,Jeff Wolf,New York University School of Law,JD,,653779,574794,1988-12-28,25
597905,Mark Morabito,University of Western Ontario,JD,,654370,62795,1993-12-28,25
597905,Mark Morabito,Simon Fraser University,BA,,654371,61839,1990-12-28,25
597949,Karen King,University of Illinois at Chicago (UIC),BS,,1622222,62367,9999-12-31,80
598014,Punit Dhillon,Simon Fraser University,BA (Hons),,656573,61839,2003-12-28,25
598573,Tony Scott,Santa Clara University (SCU),JD,,654565,61782,9999-12-31,80
598573,Tony Scott,University of San Francisco (USF),BS,,654563,62648,9999-12-31,80
599606,Tony Kingsley,Dartmouth College,BA,,656313,60488,9999-12-31,80
599606,Tony Kingsley,Harvard Business School Harvard University,MBA,,656311,63013,9999-12-31,80
601215,Wayne Pisano,St John Fisher College,BS,,1152592,85732,1976-12-28,25
601215,Wayne Pisano,University of Dayton,MBA,,1152594,62274,1984-12-28,25
603861,Greg Probert,University of Southern California (USC),BA,,674841,62673,1979-12-28,25
603861,Greg Probert,California State University Los Angeles (Formerly known as Los Angeles State College),MBA,,674842,60260,9999-12-31,80
604072,Doctor Kaushik Dave,Unknown Organisation,Registered Pharmacist (RPh),,1212014,0,9999-12-31,80
604072,Doctor Kaushik Dave,Wharton School (The) University of Pennsylvania,MBA,,674931,64966,2007-12-28,25
604072,Doctor Kaushik Dave,University of Kansas (The),PhD,,674929,80243,1991-12-28,25
604072,Doctor Kaushik Dave,University of Bath,BPharm,,674930,62185,1983-12-28,25
606238,Doctor John Leonard,Johns Hopkins University,Doctorate,,680742,61026,1983-12-28,25
606238,Doctor John Leonard,University of Wisconsin-Madison,Bachelor's Degree,,680741,751347,1979-12-28,25
606238,Doctor John Leonard,National Institute of Allergy and Infectious Diseases (NIAID),Postdoctoral Fellow,,680740,115197,1986-12-28,25
621275,James Oliviero III,Goizueta Business School Emory University,BBA (Distinction),,684236,104642,9999-12-31,80
621275,James Oliviero III,CFA Institute (Association for Investment Management and Research prior to 2004),CFA,,1844205,594747,9999-12-31,80
624729,Doctor Christian Weyer,Heinrich Heine Universität Düsseldorf (HHUD) (Heinrich Heine University of Düsseldorf),MD,,2010178,60840,9999-12-31,80
624729,Doctor Christian Weyer,Heinrich Heine Universität Düsseldorf (HHUD) (Heinrich Heine University of Düsseldorf),MD (Summa cum laude),,691438,60840,1995-12-28,25
624729,Doctor Christian Weyer,University of California San Diego (UCSD),Completed,,691440,79941,2004-12-28,25
624729,Doctor Christian Weyer,University of California San Diego (UCSD),Master of Advanced Studies (MAS),,691439,79941,2004-12-28,25
624729,Doctor Christian Weyer,German Council of Sports Medicine,Diploma,,691454,1072345,1997-12-28,25
624729,Doctor Christian Weyer,German Society for the Prevention and Rehabilitation of Cardiovascular Diseases (DGPR),Diploma,,691448,1072343,1996-12-28,25
624729,Doctor Christian Weyer,Deutsche Akademie der Naturforscher Leopoldina (German Academy of Sciences Leopoldina),Diploma,,691465,36707,1997-12-28,25
625536,Scott Bibaud,Rensselaer Polytechnic Institute (RPI),BS,,693128,61687,1985-12-28,25
625536,Scott Bibaud,Harvard Business School Harvard University,MBA,,693129,63013,1993-12-28,25
626144,Joe Oliveto,State University of New Jersey Rutgers (Rutgers University),MBA,,693793,100431,1996-12-28,25
626144,Joe Oliveto,State University of New Jersey Rutgers (Rutgers University),BA,,693791,100431,1989-12-28,25
640531,Steve Mollenkopf,University of Michigan,MSEE,,714669,63187,9999-12-31,80
640531,Steve Mollenkopf,Virginia Polytechnic Institute and State University (Virginia Tech),BSEE,,714668,110197,1992-12-28,25
644833,Doctor Mostafa Ronaghi,Kungliga Tekniska Högskolan (KTH Royal Institute of Technology),PhD,,714319,36925,1998-10-28,15
644833,Doctor Mostafa Ronaghi,Högskolan i Kalmar (Kalmar University College),BSc,,714328,810879,1994-12-28,25
645756,Doctor Rachel McMinn,Scripps Research Institute (The),PhD,,715993,99012,1999-12-28,25
645756,Doctor Rachel McMinn,Cornell University  New York,BA (magna cum laude),,715996,60457,1995-12-28,25
646340,Chamath Palihapitiya,University of Waterloo (UWaterloo),BS (Hons),,717646,62786,1999-12-28,25
647272,Doctor Tony Sun,Wharton School (The) University of Pennsylvania,MBA,,721564,64966,2002-12-28,25
647272,Doctor Tony Sun,Cornell University  New York,BS,,721561,60457,1993-12-28,25
647272,Doctor Tony Sun,Temple University School of Medicine,MD (Hons),,721562,744389,1997-12-28,25
647272,Doctor Tony Sun,American Board of Internal Medicine (ABIM),Certified,,2006435,36377,9999-12-31,80
647406,Doctor Tillman Gerngross,Technische Universität Wien (Vienna University of Technology),PhD,,721690,62856,1991-12-28,25
647406,Doctor Tillman Gerngross,Technische Universität Wien (Vienna University of Technology),BS,,722626,62856,9999-12-31,80
647406,Doctor Tillman Gerngross,Technische Universität Wien (Vienna University of Technology),MS,,721688,62856,1989-12-28,25
650446,Scott Cormack,University of Alberta,BS,,723508,62142,1986-12-28,25
650660,Uwe Röhrhoff,Universität zu Köln (University of Cologne),Dipl Kfm,,724622,63055,9999-12-31,80
655327,Suren Ajjarapu,Jawaharlal Nehru Technological University (JNTU),BTech,,801240,916656,1992-12-28,25
655327,Suren Ajjarapu,University of South Florida (USF),MBA,,801245,62670,2006-12-28,25
655327,Suren Ajjarapu,South Dakota State University (SDSU),MS,,801244,128092,1995-12-28,25
655327,Suren Ajjarapu,Harvard University,Executive Education Program,,801246,63830,9999-12-31,80
656109,Doctor Peter Suzdak,St John's University (SJU),BS,,801740,61913,1981-12-28,25
656109,Doctor Peter Suzdak,University of Connecticut (UCONN),PhD,,801737,62265,1985-12-28,25
656337,Derek Aberle,University of San Diego School of Law,JD (magna Cum Laude),,810900,421175,1996-12-28,25
656337,Derek Aberle,University of California Santa Barbara (UCSB),BA,,810899,62214,1992-12-28,25
656436,Paul Jewer,Canadian Institute of Chartered Accountants (CICA),Chartered Accountant,,810791,56019,1997-12-28,25
656436,Paul Jewer,Acadia University,BA,,810793,488025,1994-12-28,25
656436,Paul Jewer,Institute of Corporate Directors (ICD),ICD.D,,4169756,664466,9999-12-31,80
656436,Paul Jewer,Chartered Professional Accountants of Canada (CPA Canada),Chartered Professional Accountant,,1944522,2017359,9999-12-31,80
656915,Barrett Evans,University of California Santa Barbara (UCSB),BA,,802400,62214,9999-12-31,80
657184,Rick Mills,Taylor University,Graduated,,1654327,259017,1975-12-28,25
732483,Doctor Quinton Hennigh,University of Missouri Columbia,BS,,1245496,62483,9999-12-31,80
732483,Doctor Quinton Hennigh,Colorado School of Mines (CSM),MSc,,843677,60430,1993-12-28,25
732483,Doctor Quinton Hennigh,Colorado School of Mines (CSM),PhD,,843678,60430,1996-12-28,25
743063,Chris Cooper,Hofstra University,BA,,804187,60871,9999-12-31,80
743063,Chris Cooper,Dowling College,MBA,,804188,81506,9999-12-31,80
745548,Doctor Alan Tuchman,American Society Of Neurorehabilitation,Certified,,1217869,1195000,9999-12-31,80
745548,Doctor Alan Tuchman,College of Medicine University of Cincinnati,MD,,805399,466895,1972-12-28,25
745548,Doctor Alan Tuchman,Columbia University,MBA,,805412,60434,1996-12-28,25
745548,Doctor Alan Tuchman,American Board of Psychiatry and Neurology Inc (ABPN),Certificate,,817943,261577,9999-12-31,80
745548,Doctor Alan Tuchman,City College of New York (CCNY),BS,,817942,60368,1968-12-28,25
747249,Doctor Ford Tamer,Massachusetts Institute of Technology (MIT),PhD,,817655,40436,1988-12-28,25
747249,Doctor Ford Tamer,Massachusetts Institute of Technology (MIT),MS,,817654,40436,1988-12-28,25
747249,Doctor Ford Tamer,American University of Beirut (AUB),Bachelor's Degree,,3485201,60053,1983-12-28,25
747756,Alex Gorsky,United States Military Academy (USMA) West Point,BS,,816432,62117,1982-12-28,25
747756,Alex Gorsky,Wharton School (The) University of Pennsylvania,MBA,,816434,64966,1996-12-28,25
748086,Owen Hughes Jr,Dartmouth College,BA,,823410,60488,9999-12-31,80
755586,Nate Bradley,Northern Arizona University,Attended,,1277461,79979,9999-12-31,80
755770,Jim DeBello,Harvard University,BA (magna cum laude),,833735,63830,1980-12-28,25
755770,Jim DeBello,Harvard Business School Harvard University,MBA,,833736,63013,1986-12-28,25
755770,Jim DeBello,National University of Singapore (The) (NUS),Studied,,833737,61399,9999-12-31,80
756986,David Moss,California State University Northridge (Formerly known as San Fernando Valley State College),BA,,827543,60261,9999-12-31,80
756986,David Moss,Rice University,MBA,,832408,61692,1995-12-28,25
756986,David Moss,University of California San Diego (UCSD),BA,,832409,79941,1993-12-28,25
760245,Doctor H Dees,Auburn University at Montgomery,MS,,841569,60101,9999-12-31,80
760245,Doctor H Dees,University of Wisconsin-Madison,PhD,,833871,751347,1984-12-28,25
760245,Doctor H Dees,Brigham Young University (BYU),Bachelor's Degree,,841570,60212,9999-12-31,80
762401,Chirag Patel,HA College of Commerce,Bachelor's Degree,,2675787,1388314,9999-12-31,80
762401,Chirag Patel,New Jersey City University,BS,,2675789,117696,1989-12-28,25
762401,Chirag Patel,American Institute of Certified Public Accountants (AICPA),CPA,,2675792,54373,1993-12-28,25
763255,Jeffrey Bacha,University of California San Diego (UCSD),BSc,,837852,79941,1991-12-28,25
763255,Jeffrey Bacha,Goizueta Business School Emory University,MBA (Hons),,837855,104642,1995-12-28,25
764621,Brian Krzanich,San Jose State University,Bachelor's Degree,,826388,61780,1982-12-28,25
764661,Bill Radvak,University of British Columbia (UBC),BASc,,850989,62203,1986-12-28,25
765022,Doctor D Perlroth,Princeton University,AB (Summa Cum Laude),,843055,61632,1995-12-28,25
765022,Doctor D Perlroth,Stanford University,MBA,,843053,61935,2001-12-28,25
765022,Doctor D Perlroth,Stanford University,MD,,843054,61935,2000-12-28,25
765139,Doctor Robert Alexander,University of North Carolina (UNC),PhD,,856406,40198,1999-12-28,25
765139,Doctor Robert Alexander,Miami University Ohio,BA,,856423,61276,1992-12-28,25
765336,Doctor Todd Brady,Duke University,PhD,,851450,60547,1998-12-28,25
765336,Doctor Todd Brady,Dartmouth College,AB,,851447,60488,1993-12-28,25
765336,Doctor Todd Brady,Duke University School of Medicine,MD,,851452,80542,1999-12-28,25
765903,Craig Collard,Southern College of Technology,BS,,827254,915170,9999-12-31,80
765918,Mike Heffernan,University of Connecticut (UCONN),BS,,827273,62265,9999-12-31,80
765918,Mike Heffernan,Unknown Organisation,Registered Pharmacist (RPh),,1174413,0,9999-12-31,80
766710,Jason Lettmann,Stephen M Ross School of Business University of Michigan (University of Michigan Business School prior to 09/2004),MBA (Distinction),,852982,747221,2006-12-28,25
766710,Jason Lettmann,University of Iowa (The),BA (Hons),,852986,62375,1999-12-28,25
771556,Doctor Mahesh Patel,University of Cincinnati,MS,,892464,62243,9999-12-31,80
771556,Doctor Mahesh Patel,University of Utah,PhD,,863035,62764,9999-12-31,80
790401,Tony DiTonno,Drexel University (Formerly known as Drexel Institute of Technology),MBA,,882722,60542,1979-12-28,25
790401,Tony DiTonno,Saint Joseph's University (SJU),BS,,882715,64795,1975-12-28,25
790414,Doctor Brad Thompson,University of Alberta,BSc,,3176738,62142,1978-12-28,25
790414,Doctor Brad Thompson,University of Western Ontario,PhD,,884056,62795,1981-12-28,25
790419,Doctor Matt Coffey,University of Calgary,PhD,,882996,86931,1998-12-28,25
790776,John Varian,American Institute of Certified Public Accountants (AICPA),Certified Public Accountant,,4068141,54373,9999-12-31,80
790776,John Varian,Western Michigan University (WMU),BBA,,863002,62925,9999-12-31,80
796380,Doctor M Berrey,Medical College of Georgia,MD,,930270,485985,1993-12-28,25
796380,Doctor M Berrey,American Board of Internal Medicine (ABIM),Certified in Internal Medicine,,2709832,36377,9999-12-31,80
796380,Doctor M Berrey,American Board of Internal Medicine (ABIM),Certified,,2709833,36377,9999-12-31,80
796380,Doctor M Berrey,Rollins School of Public Health Emory University,MPH,,930268,1380915,1992-12-28,25
796863,Cuong Do,Tuck School of Business Dartmouth,MBA,,935959,632975,1989-12-28,25
796863,Cuong Do,Dartmouth College,BA,,935957,60488,1988-12-28,25
832881,Bill Stone III,Rice University,Bachelor's Degree,,925208,61692,9999-12-31,80
832881,Bill Stone III,Rice University,MBA,,925207,61692,1992-12-28,25
833222,Doctor David Lowe,Kauffman Fellows Academy (KFA),Fellow,,925803,1248053,9999-12-31,80
833222,Doctor David Lowe,University of Toronto,BS,,925795,62752,1980-12-28,25
833222,Doctor David Lowe,University of Toronto,PhD,,925792,62752,1985-12-28,25
833484,Anthony Durkacz,Brock University,BBA (Hons),,1860437,564613,1999-12-28,25
834006,David Burgstahler,Harvard Business School Harvard University,MBA,,926887,63013,1995-12-28,25
834006,David Burgstahler,University of Kansas (The),BS,,926886,80243,1991-12-28,25
834601,Doctor Andrew Cheng,University of California Los Angeles (UCLA),Training Program,,942074,62218,9999-12-31,80
834601,Doctor Andrew Cheng,Columbia University College of Physicians and Surgeons (CUCPS),PhD,,941455,116791,1995-12-28,25
